id,TLE_LINE1,TLE_LINE2
STARLINK-11380,1 62099U 24220M   26085.95576437  .00310928  00000-0  23304-2 0  9990,2 62099  43.0004 298.5541 0001679 275.5140  84.5536 15.70908784 77677
STARLINK-33566,1 62100U 24220N   26085.57733704  .00010077  00000-0  37501-3 0  9990,2 62100  43.0008  95.4611 0001007 273.9014  86.1722 15.27598408 75946
STARLINK-33545,1 62101U 24220P   26085.36011883  .00025225  00000-0  92245-3 0  9992,2 62101  43.0007 111.1455 0001676 271.3316  88.7344 15.27600555 75571
STARLINK-33562,1 62102U 24220Q   26085.43706893  .00012167  00000-0  45064-3 0  9991,2 62102  43.0004 110.8654 0001531 268.3554  91.7122 15.27599804 75589
STARLINK-33554,1 62103U 24220R   26085.42164976  .00011935  00000-0  44226-3 0  9992,2 62103  43.0005 110.7468 0001472 272.2823  87.7860 15.27598622 75514
STARLINK-33555,1 62104U 24220S   26085.45505335  .00010913  00000-0  40545-3 0  9999,2 62104  43.0038 110.9965 0002067 257.9889 102.0731 15.27585208 75725
STARLINK-33559,1 62107U 24220V   26085.12427492  .00015359  00000-0  56622-3 0  9995,2 62107  42.9984 112.8145 0000883 248.9350 111.1408 15.27596687 75707
STARLINK-33553,1 62108U 24220W   26085.11657186  .00016209  00000-0  59672-3 0  9993,2 62108  43.0004 112.7591 0001408 284.7593  75.3103 15.27609069 75700
STARLINK-33556,1 62109U 24220X   26085.56012926  .00019504  00000-0  71582-3 0  9995,2 62109  43.0012 110.0659 0001450 282.8472  77.2218 15.27607579 75799
STARLINK-33551,1 62110U 24220Y   26085.51273262  .00023537  00000-0  86173-3 0  9997,2 62110  43.0007 110.5767 0001757 267.0420  93.0231 15.27593953 75766
GUANGCHUAN 01,1 62111U 24221A   26085.81934601  .00003768  00000-0  22073-3 0  9996,2 62111  49.9437 202.9801 0007378 322.5506  37.4929 15.14039838 73702
GUANGCHUAN 02,1 62112U 24221B   26085.82035001  .00003819  00000-0  22368-3 0  9998,2 62112  49.9421 202.9102 0006145  11.2100 348.8986 15.14007976 73691
STARLINK-32311,1 62114U 24222A   26085.83073803  .00025554  00000-0  93481-3 0  9998,2 62114  43.0012  24.3982 0001113 257.6071 102.4657 15.27583662 75707
STARLINK-32470,1 62115U 24222B   26085.90332572  .00029917  00000-0  10926-2 0  9997,2 62115  43.0033  38.7965 0001575 263.0964  96.9708 15.27571127 75533
STARLINK-32502,1 62116U 24222C   26085.27132416  .00020645  00000-0  75719-3 0  9994,2 62116  43.0028  42.6495 0001135 266.4841  93.5881 15.27600204 75346
STARLINK-32521,1 62117U 24222D   26085.91150523  .00034211  00000-0  12465-2 0  9997,2 62117  43.0048  35.2803 0000951 254.0712 106.0035 15.27592066 75421
STARLINK-32549,1 62118U 24222E   26085.36612148  .00020204  00000-0  74225-3 0  9993,2 62118  43.0008  41.6446 0001221 278.6943  81.3770 15.27556413 75361
STARLINK-32535,1 62119U 24222F   26085.21411492  .00027083  00000-0  98951-3 0  9991,2 62119  43.0014  39.6247 0001562 257.0329 103.0349 15.27599292 75324
STARLINK-32548,1 62120U 24222G   26085.35082459  .00029154  00000-0  10638-2 0  9991,2 62120  43.0031  42.3857 0002059 265.1997  94.8620 15.27610773 75301
STARLINK-32525,1 62121U 24222H   26085.24175058  .00012028  00000-0  44569-3 0  9991,2 62121  43.0024  42.4284 0001278 265.1577  94.9129 15.27595956 75293
STARLINK-32628,1 62122U 24222J   26085.91360814  .00028223  00000-0  10305-2 0  9996,2 62122  43.0033  38.8704 0002815 256.2290 103.8248 15.27600185 75553
STARLINK-32626,1 62123U 24222K   26085.34441173  .00025282  00000-0  92392-3 0  9991,2 62123  43.0043  42.3348 0002645 274.7949  85.2601 15.27620269 75298
STARLINK-32608,1 62124U 24222L   26085.25331596  .00026304  00000-0  96169-3 0  9991,2 62124  43.0030  42.5158 0001236 262.5870  97.4842 15.27589856 75275
STARLINK-32488,1 62125U 24222M   26085.22390830  .00023127  00000-0  84664-3 0  9992,2 62125  43.0008  43.1507 0001553 275.1750  84.8924 15.27606384 75171
STARLINK-32490,1 62126U 24222N   26085.23789818  .00025354  00000-0  92731-3 0  9990,2 62126  43.0003  42.3999 0001461 277.0558  83.0128 15.27593861 75282
STARLINK-32557,1 62127U 24222P   26084.86499216  .00024609  00000-0  90011-3 0  9990,2 62127  43.0027  34.2283 0001984 254.4516 105.6117 15.27604774 75395
