CCSDS_OMM_VERS:COMMENT:CREATION_DATE:ORIGINATOR:OBJECT_NAME:OBJECT_ID:CENTER_NAME:REF_FRAME:TIME_SYSTEM:MEAN_ELEMENT_THEORY:EPOCH:MEAN_MOTION:ECCENTRICITY:INCLINATION:RA_OF_ASC_NODE:ARG_OF_PERICENTER:MEAN_ANOMALY:EPHEMERIS_TYPE:CLASSIFICATION_TYPE:NORAD_CAT_ID:ELEMENT_SET_NO:REV_AT_EPOCH:BSTAR:MEAN_MOTION_DOT:MEAN_MOTION_DDOT:SEMIMAJOR_AXIS:PERIOD:APOAPSIS:PERIAPSIS:OBJECT_TYPE:RCS_SIZE:COUNTRY_CODE:LAUNCH_DATE:SITE:DECAY_DATE:FILE:GP_ID:TLE_LINE0:TLE_LINE1:TLE_LINE2:masa_en_orbita:clase_objeto:lat_caida:lon_caida:fecha_caida_tip:pais_caida_calc:constelacion_calc:dias_en_orbita:delta_tiempo:dias_diferencia:horas_diferencia
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2024-11-14T13:36:14":18 SPCS:COSMOS 1024:1978-066A:EARTH:TEME:UTC:SGP4:"2024-11-14 12:40:06.026592":15,90205884:0,032483:61,6508:21,112:51,6538:65,0493:0:U:10970:999:34086:0,0001:0,17941272:9,5936e-06:6679,843:90,554:518,69:84,727:PAYLOAD:LARGE:CIS:1978-06-28:PKMTR:2024-11-14:4553277:273107115:0 COSMOS 1024:1 10970U 78066A   24319.52784753  .17941272  95936-5  10000-3 0  9998:2 10970  61.6508  21.1120 0324830  51.6538  65.0493 15.90205884340860:1238,85:Payload:34,2:-88,80000000000001:"2024-11-14 14:15:00":United States of America:NoConstelacion:16941,59375:"0 days 01:34:53.973408":0,06590247:1,58165928
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2007-03-10T04:18:35":18 SPCS:COSMOS 1025:1978-067A:EARTH:TEME:UTC:SGP4:"2007-03-10 10:35:17.762783":16,50741723:0,0009783:82,4082:101,0362:254,7134:218,0656:0:U:10973:999:57457:0,00015273:0,1519412:-1,2345e-06:6515,524:87,233:143,763:131,015:PAYLOAD:LARGE:CIS:1978-06-28:PKMTR:2007-03-10:373950:60773861:0 COSMOS 1025:1 10973U 78067A   07069.44117781  .15194120 -12345-5  15273-3 0  9998:2 10973 082.4082 101.0362 0009783 254.7134 218.0656 16.50741723574574:1883,05:Payload:-22,0:96,0:"2007-03-10 12:56:00":Océano / Desconocido:NoConstelacion:10482,538888888888:"0 days 02:20:42.237217":0,09771107890046296:2,3450658936111113
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2024-06-04T08:56:15":18 SPCS:SL-6 R/B(2):1978-066D:EARTH:TEME:UTC:SGP4:"2024-06-04 08:26:43.170720":14,84723144:0,0740554:61,8737:37,8318:51,1214:62,4923:0:U:10998:999:33642:0,0042267:0,99999999:1,4745e-05:6992,592:96,988:1132,296:96,618:ROCKET BODY:LARGE:CIS:1978-06-28:PKMTR:2024-06-04:4335915:258750303:0 SL-6 R/B(2):1 10998U 78066D   24156.35188855  .99999999  14745-4  42267-2 0  9995:2 10998  61.8737  37.8318 0740554  51.1214  62.4923 14.84723144336422:891,97:Rocket Body:55,5:47,400000000000006:"2024-06-04 09:54:00":Russia:NoConstelacion:16778,4125:"0 days 01:27:16.829280":0,06061145:1,4546748
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2024-03-01T21:36:14":18 SPCS:METEOR 1-29:1979-005A:EARTH:TEME:UTC:SGP4:"2024-03-01 21:10:07.964832":16,59025602:0,0014168:97,6964:100,1987:340,735:108,1365:0:U:11251:999:1770:0,00012891:0,388349:2,7788e-06:6493,813:86,798:124,878:106,478:PAYLOAD:LARGE:CIS:1979-01-25:TTMTR:2024-03-02:4202827:250503558:0 METEOR 1-29:1 11251U 79005A   24061.88203663  .38834900  27788-5  12891-3 0  9996:2 11251  97.6964 100.1987 0014168 340.7350 108.1365 16.59025602 17706:1280,0:Payload:-46,3:145,89999999999998:"2024-03-01 21:43:00":Océano / Desconocido:NoConstelacion:16472,90486111111:"0 days 00:32:52.035168":0,022824481111111114:0,5477875466666667
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2017-10-23T11:44:08":18 SPCS:MOLNIYA 1-44:1979-070A:EARTH:TEME:UTC:SGP4:"2017-10-23 10:07:42.381984":16,3914744:0,0069946:61,9462:282,6348:92,1613:7,0055:0:U:11474:999:58382:0,00021815:0,15834611:9,2894e-06:6546,208:87,85:213,861:122,285:PAYLOAD:LARGE:CIS:1979-07-31:PKMTR:2017-10-23:2196290:115033108:0 MOLNIYA 1-44:1 11474U 79070A   17296.42201831  .15834611  92894-5  21815-3 0  9992:2 11474  61.9462 282.6348 0069946  92.1613   7.0055 16.39147440583828:1650,0:Payload:-28,6:23,5:"2017-10-23 14:38:00":South Africa:NoConstelacion:13964,609722222222:"0 days 04:30:17.618016":0,1877039122222222:4,504893893333334
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2023-09-26T23:06:17":18 SPCS:COSMOS 1124:1979-077A:EARTH:TEME:UTC:SGP4:"2023-09-26 22:51:25.150752":15,41297851:0,051357:62,1387:28,3999:62,1002:46,3855:0:U:11509:999:32513:0,002811:0,99999999:1,1589e-05:6820,415:93,428:792,556:92,004:PAYLOAD:LARGE:CIS:1979-08-28:PKMTR:2023-09-27:4017523:237920911:0 COSMOS 1124:1 11509U 79077A   23269.95237443  .99999999  11589-4  28110-2 0  9999:2 11509  62.1387  28.3999 0513570  62.1002  46.3855 15.41297851325135:1150,0:Payload:-58,1:-51,80000000000001:"2023-09-27 01:04:00":Océano / Desconocido:NoConstelacion:16101,044444444444:"0 days 02:12:34.849248":0,09207001444444445:2,2096803466666666
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2012-01-04T07:42:03":18 SPCS:SL-6 R/B(2):1979-058D:EARTH:TEME:UTC:SGP4:"2012-01-04 13:52:47.999712":15,78021894:0,0353307:62,8423:101,0441:46,0561:149,4457:0:U:11555:999:23794:0,0026786:0,99999999:1,193e-05:6714,187:91,253:573,268:98,835:ROCKET BODY:LARGE:CIS:1979-06-27:PKMTR:2012-01-04:1218126:86658228:0 SL-6 R/B(2):1 11555U 79058D   12004.57833333  .99999999  11930-4  26786-2 0  9999:2 11555 062.8423 101.0441 0353307 046.0561 149.4457 15.78021894237942:891,97:Rocket Body:56,0:161,0:"2012-01-04 16:20:00":Russia:NoConstelacion:11879,680555555555:"0 days 02:27:12.000288":0,10222222555555555:2,453333413333333
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2010-04-30T09:40:03":18 SPCS:SL-3 R/B:1979-093B:EARTH:TEME:UTC:SGP4:"2010-04-30 15:16:45.515424":16,5312694:0,0012064:81,1892:151,8576:250,2072:258,8454:0:U:11601:999:68411:0,00010722:0,15445347:-9,9103e-07:6509,255:87,107:138,973:123,267:ROCKET BODY:LARGE:CIS:1979-10-26:PKMTR:2010-04-30:889131:77555306:0 SL-3 R/B:1 11601U 79093B   10120.63663791  .15445347 -99103-6  10722-3 0  9999:2 11601 081.1892 151.8576 0012064 250.2072 258.8454 16.53126940684117:1427,16:Rocket Body:40,0:-133,0:"2010-04-30 16:44:00":Océano / Desconocido:NoConstelacion:11144,697222222223:"0 days 01:27:14.484576":0,06058431222222222:1,4540234933333334
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2014-08-04T15:47:36":18 SPCS:COSMOS 1151:1980-005A:EARTH:TEME:UTC:SGP4:"2014-08-04 14:16:48.152064":16,51711581:0,0010847:82,4436:262,198:239,201:121,7391:0:U:11671:999:89595:0,00012758:0,14838416:-1,2223e-06:6512,973:87,182:141,903:127,773:PAYLOAD:LARGE:CIS:1980-01-23:PKMTR:2014-08-04:1724850:96634468:0 COSMOS 1151:1 11671U 80005A   14216.59500176  .14838416 -12223-5  12758-3 0  9993:2 11671 082.4436 262.1980 0010847 239.2010 121.7391 16.51711581895956:1888,0:Payload:45,0:-123,0:"2014-08-04 16:16:00":United States of America:NoConstelacion:12612,677777777777:"0 days 01:59:11.847936":0,08277601777777778:1,9866244266666666
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2021-04-02T18:10:20":18 SPCS:EP 3:1980-019G:EARTH:TEME:UTC:SGP4:"2021-04-02 15:26:35.604960":16,50114414:0,0030166:63,1982:37,7995:75,7136:343,8308:0:U:11745:999:10401:0,00012352:0,16252128:8,9802e-06:6517,171:87,267:158,696:119,377:PAYLOAD:LARGE:US:1980-03-03:AFWTR:2021-04-02:3004616:174707875:0 EP 3:1 11745U 80019G   21092.64346765  .16252128  89802-5  12352-3 0  9996:2 11745  63.1982  37.7995 0030166  75.7136 343.8308 16.50114414104016:200,0:Payload:-44,0:173,60000000000002:"2021-04-02 16:08:00":Océano / Desconocido:NoConstelacion:15005,672222222222:"0 days 00:41:24.395040":0,028754572222222222:0,6901097333333333
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2023-02-20T07:56:12":18 SPCS:SL-3 R/B:1980-044B:EARTH:TEME:UTC:SGP4:"2023-02-20 05:29:19.737024":16,4763581:0,0009565:81,1876:206,3863:298,1087:62,1428:0:U:11822:999:35473:0,0001666:0,10047416:-1,0568e-06:6523,706:87,398:151,811:139,331:ROCKET BODY:LARGE:CIS:1980-06-04:PKMTR:2023-02-20:3813734:226094512:0 SL-3 R/B:1 11822U 80044B   23051.22870066  .10047416 -10568-5  16660-3 0  9993:2 11822  81.1876 206.3863 0009565 298.1087  62.1428 16.47635810354731:1427,16:Rocket Body:71,5:54,30000000000001:"2023-02-20 10:16:00":Russia:NoConstelacion:15601,427777777777:"0 days 04:46:40.262976":0,1990771177777778:4,7778508266666675
